query,full_title,authors,categories,average_rating,ratings_count,num_pages,published_year,topic_display,mood_display,emotion_display,audience_label,reading_length,reason,semantic_score,final_score,thumbnail,description_preview,book_id
"a reflective literary novel about family, faith, and grief",The Blackwater Lightship: A Novel,Colm Toibin,Fiction,3.86,4194,288,2001,Literary Fiction,Reflective,Sadness,All Ages,Medium,Strong fit for Literary Fiction | Literary Fiction | Reflective | well-rated by many readers,0.5861,0.6329,https://books.google.com/books/content?id=V9rUaWjCelwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"With AIDS about to claim a well-loved young man, three generations of his family are reunited at his bedside in Ireland, in a novel that explores the nature of love and the complex interrelationships among family members.",9780743203319
"a reflective literary novel about family, faith, and grief","Caramelo, Or, Puro Cuento: A Novel",Sandra Cisneros,Fiction,3.89,9001,441,2003,Literary Fiction,Reflective,Sadness,All Ages,Long,Strong fit for Literary Fiction | Literary Fiction | Reflective | well-rated by many readers,0.5141,0.5848,https://books.google.com/books/content?id=nWNpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During her family's annual car trip from Chicago to Mexico City, Lala Reyes listens to stories about her family, including her grandmother, the descendant of famous shawl makers, one of which has come into Lala's possession.",9780679742586
"a reflective literary novel about family, faith, and grief",What is the what: The Autobiography of Valentino Achak Deng : a Novel,Dave Eggers,Fiction,4.16,64088,475,2006,Literary Fiction,Reflective,Sadness,All Ages,Long,Strong fit for Literary Fiction | Literary Fiction | Reflective | well-rated by many readers,0.4601,0.5593,https://books.google.com/books/content?id=Ps8LAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A biographical novel traces the story of Valentino Achak Deng, who as a boy of seven was separated from his family when his village in southern Sudan was attacked by government helicopters and became one of the estimated 17,000 ""lost boys of Sudan"" before",9781932416640
"a reflective literary novel about family, faith, and grief",The God of Small Things,Arundhati Roy,Fiction,3.93,6549,321,1998,Literary Fiction,Dark,Anger,All Ages,Medium,Strong fit for Literary Fiction | Literary Fiction | Dark | well-rated by many readers,0.4625,0.5471,https://books.google.com/books/content?id=2GESvfIWs4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A debut novel of dark foreboding and family tragedy that won the prestigious Booker Prize traces the decline of one family in Southern India in the late sixties, which begins with an episode of forbidden love. Reprint. Tour.",9780060977498
"a reflective literary novel about family, faith, and grief",Sister of My Heart,Chitra Banerjee Divakaruni,Fiction,3.98,15648,322,2000,Literary Fiction,Reflective,Sadness,All Ages,Medium,Strong fit for Literary Fiction | Literary Fiction | Reflective | well-rated by many readers,0.4319,0.5296,https://books.google.com/books/content?id=KtjF3dIeP04C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Two girls, one the daughter of an upper-caste Calcutta family, the other the daughter of the black sheep of that same family, form a sisterly bond that shatters when one of the girls discovers a dark family secret.",9780385489515
a fast-paced murder mystery with clever investigators,Dance Dance Dance,Haruki Murakami,Crime investigation,4.04,47494,393,2003,Mystery & Thriller,Dark,Anger,Adult,Medium,Strong fit for Mystery & Thriller | Mystery & Thriller | Dark | well-rated by many readers,0.537,0.611,https://books.google.com/books/content?id=23aiRAguYcEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Combining an offbeat cast of characters with Murakami's idiosyncratic prose, this novel is an assault on all the senses, a murder mystery that is also philosophical speculation, and a dark fable of advanced capitalism.",9780099448761
a fast-paced murder mystery with clever investigators,A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",3.98,680,382,2002,Mystery & Thriller,Tense,Fear,Adult,Medium,Strong fit for Mystery & Thriller | Mystery & Thriller | Tense,0.5409,0.5959,https://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The villagers of Chipping Cleghorn are amazed by an advertisement in the local paper which reads ""A murder is announced and will take place on Friday October 29th, at Little Paddocks at 6.30pm. Unable to resist, a crowd begins to gather at the house at the appointed time. But when a man is killed in what looks like...",9780007120963
a fast-paced murder mystery with clever investigators,Murder at the Vicarage: A Miss Marple Mystery,Agatha Christie,Fiction,4.05,113459,288,2005,Literary Fiction,Tense,Fear,Adult,Medium,Strong fit for Literary Fiction | Literary Fiction | Tense | well-rated by many readers,0.4913,0.5822,https://books.google.com/books/content?id=gXWnYlqSrnAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Colonel Protheroe is found dead from a single gun shot wound to the head, none of his neighbors in the village of St. Mary Mead is much surprised. So many people wished this local official would say farewell, if not quite so permanently. With suspects abound and the local police symied it is up to Miss Jane Mar...",9781579126254
a fast-paced murder mystery with clever investigators,Sugar Cookie Murder: A Hannah Swensen Holiday Mystery with Recipes,Joanne Fluke,Fiction,3.75,10942,380,2005,Literary Fiction,Tense,Fear,Adult,Medium,Strong fit for Literary Fiction | Literary Fiction | Tense | well-rated by many readers,0.4978,0.5711,https://books.google.com/books/content?id=6t7uuQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During the Christmas party at Lake Eden's community center, Hannah Swensen stumbles upon a murder when Martin Dubinski's new wife, a former Las Vegas showgirl, is found dead with Hannah's mother's silver cake knife buried in her cleavage. Reprint.",9780758206824
a fast-paced murder mystery with clever investigators,Monkeewrench,P. J. Tracy,Fiction,4.12,7696,421,2004,Literary Fiction,Tense,Fear,Adult,Long,Strong fit for Literary Fiction | Literary Fiction | Tense | well-rated by many readers,0.4745,0.5603,https://books.google.com/books/content?id=IHFKPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Grace McBride and the team at her software company are horrified when events in their murder mystery computer game are replicated in the real world by a ruthless killer, a situation that prompts them to analyze the game in order to anticipate his next move. Reprint.",9780451211576
an inspiring business book about leadership and personal growth,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,Business & Economics,3.99,28568,286,2003,Business & Career,Inspiring,Joy,Adult,Medium,Strong fit for Business & Career | Business & Career | Inspiring | well-rated by many readers,0.6992,0.7278,https://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this revolutionary bestseller, Harvard professor Clayton M. Christensen says outstanding companies can do everything right and still lose their market leadership -- or worse, disappear completely. And he not only proves what he says, he tells others how to avoid a similar fate. Focusing on ""disruptive technology""...",9780060521998
an inspiring business book about leadership and personal growth,Leadership and the One Minute Manager: Increasing Effectiveness Through Situational Leadership,Ken Blanchard;Patricia Zigarmi;Drea Zigarmi,Business & Economics,3.97,2445,111,1999,Business & Career,Inspiring,Joy,Adult,Short,Strong fit for Business & Career | Business & Career | Inspiring | well-rated by many readers,0.6872,0.7102,https://books.google.com/books/content?id=a_k3uwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In clear, simple terms Leadership and the One Minute Manager® teaches managers the art of Situational Leadership®--a simple system that refutes the conventional management mandate of treating all employees equally. Here, you'll learn why tailoring management styles to individual employees is so important; why knowin...",9780688039691
an inspiring business book about leadership and personal growth,Principle Centered Leadership,Stephen R. Covey,Business & Economics,4.09,14453,336,1992,Business & Career,Inspiring,Joy,Adult,Medium,Strong fit for Business & Career | Business & Career | Inspiring | well-rated by many readers,0.6645,0.6989,https://books.google.com/books/content?id=w4zCIPZrniQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The author invites business readers to center their professional lives around principles of excellence and quality and discusses the six conditions of effectiveness and the patterns of organizational excellence,9780671792800
an inspiring business book about leadership and personal growth,The Leadership Challenge,James M. Kouzes;Barry Z. Posner,Business & Economics,4.04,865,458,2003,Business & Career,Inspiring,Joy,Adult,Long,Strong fit for Business & Career | Business & Career | Inspiring,0.6765,0.6975,https://books.google.com/books/content?id=a7BztgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When it was initially written in 1987, few could have predicted that The Leadership Challenge would become one of the best-selling leadership books of all time. Now, faced with the new challenges of our unpredictable global business environment, Jim Kouzes and Barry Posner--two of the country's premier leadership ex...",9780787968335
an inspiring business book about leadership and personal growth,The Five Dysfunctions of a Team: A Leadership Fable,Patrick M. Lencioni,Business & Economics,4.02,57971,227,2002,Business & Career,Tense,Fear,Adult,Medium,Strong fit for Business & Career | Business & Career | Tense | well-rated by many readers,0.6435,0.691,https://books.google.com/books/content?id=dsN3CgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In The Five Dysfunctions of a Team Patrick Lencioni once again offers a leadership fable that is as enthralling and instructive as his first two best-selling books, The Five Temptations of a CEO and The Four Obsessions of an Extraordinary Executive. This time, he turns his keen intellect and storytelling power to th...",9780787960759
